driverId,lat,long,time
1,35.703686,51.385687,2020-10-20 12:54:11.745483
1,35.703686,51.385687,2020-10-20 12:54:12.745483
1,35.703686,51.385687,2020-10-20 12:54:13.745483
1,35.703686,51.385687,2020-10-20 12:54:14.745483
1,35.686806,51.435012,2020-10-20 12:54:21.747462
1,35.719774,51.360006,2020-10-20 12:54:21.748287
1,35.716914,51.438037,2020-10-20 12:54:26.748505
1,35.706258,51.371695,2020-10-20 12:54:41.752291
1,35.693407,51.42686,2020-10-20 12:54:41.752665
1,35.668782,51.425666,2020-10-20 12:54:41.753048
1,35.715623,51.376047,2020-10-20 12:54:56.755640
172,35.671891,51.458438,2020-10-20 11:54:11.744557
172,35.728834,51.375421,2020-10-20 11:54:11.744572
113,35.721141,51.390772,2020-10-20 11:54:11.744543
173,35.671891,51.458438,2020-10-20 14:54:11.744557
173,35.728834,51.375421,2020-10-20 14:54:11.744572
173,35.728834,51.375421,2020-10-20 14:54:11.744572
